mode,rep,client,server,stream_idx,gbps
per-pair,2,srv02,st05,8,14.167656444542322
per-pair,3,srv02,st05,1,14.761332663252194
per-pair,3,srv02,st05,2,13.614553309000058
per-pair,3,srv02,st05,3,14.252517044552851
per-pair,3,srv02,st05,4,13.320780664303648
per-pair,3,srv02,st05,5,13.6215437348108
per-pair,3,srv02,st05,6,14.516449309069658
per-pair,3,srv02,st05,7,13.449011287769437
per-pair,3,srv02,st05,8,13.466531042457609
per-pair,1,srv02,st06,1,14.619301020098005
per-pair,1,srv02,st06,2,13.560603827753946
per-pair,1,srv02,st06,3,14.929587726107725
per-pair,1,srv02,st06,4,12.928452553569967
per-pair,1,srv02,st06,5,13.393751542446834
per-pair,1,srv02,st06,6,13.451457355076746
per-pair,1,srv02,st06,7,13.337172933001243
per-pair,1,srv02,st06,8,13.827506318181063
per-pair,2,srv02,st06,1,13.437945806908036
per-pair,2,srv02,st06,2,13.18244596921435
per-pair,2,srv02,st06,3,12.864775086883503
per-pair,2,srv02,st06,4,13.414265760391283
per-pair,2,srv02,st06,5,14.022126437859182
per-pair,2,srv02,st06,6,14.315724062568755
per-pair,2,srv02,st06,7,14.251499582163536
per-pair,2,srv02,st06,8,14.444304093747368
per-pair,3,srv02,st06,1,14.754575484366574
per-pair,3,srv02,st06,2,13.223107258807659
per-pair,3,srv02,st06,3,16.271320154394914
per-pair,3,srv02,st06,4,12.660807245782
per-pair,3,srv02,st06,5,12.684662027146084
per-pair,3,srv02,st06,6,13.52348963666933
per-pair,3,srv02,st06,7,14.913869500581672
per-pair,3,srv02,st06,8,12.662782037206279
per-pair,1,srv02,st07,1,12.105912708136056
per-pair,1,srv02,st07,2,12.2326927073149
per-pair,1,srv02,st07,3,13.643507948021949
per-pair,1,srv02,st07,4,13.914168260556558
per-pair,1,srv02,st07,5,12.754719774028144
per-pair,1,srv02,st07,6,17.358610184624954
per-pair,1,srv02,st07,7,13.256369767332812
per-pair,1,srv02,st07,8,13.141814264594192
per-pair,2,srv02,st07,1,13.952355986036205
per-pair,2,srv02,st07,2,14.11073271126818
per-pair,2,srv02,st07,3,10.795307112860307
per-pair,2,srv02,st07,4,13.782663516849723
per-pair,2,srv02,st07,5,13.404350671668016
per-pair,2,srv02,st07,6,11.243829998717267
per-pair,2,srv02,st07,7,13.465385784812588
per-pair,2,srv02,st07,8,11.119916048895767
per-pair,3,srv02,st07,1,12.454712875234101
per-pair,3,srv02,st07,2,12.868588397271118
per-pair,3,srv02,st07,3,15.282977326195986
per-pair,3,srv02,st07,4,13.266560753466115
per-pair,3,srv02,st07,5,13.222521217288206
per-pair,3,srv02,st07,6,12.402804767165676
per-pair,3,srv02,st07,7,13.104907694082923
per-pair,3,srv02,st07,8,13.123301190839767
per-pair,1,srv02,st08,1,12.865202097334414
per-pair,1,srv02,st08,2,12.569564069985011
per-pair,1,srv02,st08,3,13.677196338204674
per-pair,1,srv02,st08,4,13.384297682234944
per-pair,1,srv02,st08,5,13.234047312622785
per-pair,1,srv02,st08,6,13.905783117445967
per-pair,1,srv02,st08,7,12.747077082992922
per-pair,1,srv02,st08,8,12.35028328921054
per-pair,2,srv02,st08,1,14.144416262180572
per-pair,2,srv02,st08,2,14.114580265686296
per-pair,2,srv02,st08,3,15.024471117919104
per-pair,2,srv02,st08,4,14.182907275376438
per-pair,2,srv02,st08,5,13.764971766715446
per-pair,2,srv02,st08,6,14.203489700253364
per-pair,2,srv02,st08,7,11.66911206862364
per-pair,2,srv02,st08,8,15.148376354495126
per-pair,3,srv02,st08,1,13.213567761226178
per-pair,3,srv02,st08,2,14.09929858613356
per-pair,3,srv02,st08,3,12.399139294442849
per-pair,3,srv02,st08,4,12.887944921092272
per-pair,3,srv02,st08,5,14.094929569091644
per-pair,3,srv02,st08,6,13.497728629632315
per-pair,3,srv02,st08,7,14.150809297057735
per-pair,3,srv02,st08,8,16.33557995903763
per-pair,1,srv03,st01,1,17.650441821209444
per-pair,1,srv03,st01,2,12.258343516668251
per-pair,1,srv03,st01,3,14.113686351129033
per-pair,1,srv03,st01,4,11.7406597874372
per-pair,1,srv03,st01,5,16.354803832594992
per-pair,1,srv03,st01,6,12.400227043605362
per-pair,1,srv03,st01,7,12.199624052402362
per-pair,1,srv03,st01,8,14.642423669987517
per-pair,2,srv03,st01,1,13.51851773485865
per-pair,2,srv03,st01,2,14.488092598463375
per-pair,2,srv03,st01,3,13.281283841929339
per-pair,2,srv03,st01,4,14.610905997057142
per-pair,2,srv03,st01,5,15.909949319856317
per-pair,2,srv03,st01,6,13.123688605334683
per-pair,2,srv03,st01,7,13.260395515402237
per-pair,2,srv03,st01,8,13.998018641854948
per-pair,3,srv03,st01,1,12.428223277051671
