epoch,qualifier,size_str,rep,host,n_hosts,n_clients,concurrency,total_requests,total_errors,throughput_mibs,throughput_gbps,ops_per_sec,duration_s,total_bytes,total_ops,n_segments,seg_median_mibs,seg_p10_mibs,seg_p90_mibs,seg_min_mibs,seg_max_mibs,seg_std_mibs,ttfb_avg_ms,ttfb_median_ms,ttfb_p99_ms,experiment,operation,rate,size_bytes,excluded
1778203175,put_distributed,64MiB,2,srv01,8,2,64,151516,0,16038.284432613375,134.53888109769602,250.59966777408638,602.0,1.0124050802601625e13,150861,597,15860.401950836182,14538.719562911989,18271.379466056824,11207.245923042297,19639.16752719879,1506.7838188598587,,,,distributed,PUT,100gbps,67108864,false
1778203867,put_distributed,512MiB,2,srv01,8,2,64,18586,0,15738.310498460254,132.02251735386767,30.74418604651163,602.0,9.934694430878543e12,18508,598,15922.133267402649,14606.682052421571,16996.57456111908,12405.173364639282,18354.877866744995,965.7015838742985,,,,distributed,PUT,100gbps,536870912,false
1778204548,put_distributed,2GiB,2,srv01,8,2,64,4851,0,16363.296598304529,137.26528075091016,7.912396694214876,605.0,1.038068685678758e13,4787,600,16547.2226190567,15007.731929397582,17818.919776821134,13188.475721359253,20364.102605819702,1105.399002351617,,,,distributed,PUT,100gbps,2147483648,false
1778205232,put_distributed,4MiB,3,srv01,8,2,64,1986257,0,13152.517571451988,110.33131412002272,3288.1314475873546,601.0,8.288639973266707e12,1976167,597,13361.775527000427,12649.197417449952,13563.903800010681,11532.370797157288,13722.089920043945,384.3154055190789,,,,distributed,PUT,100gbps,4194304,false
1778206085,put_distributed,64MiB,3,srv01,8,2,64,153625,0,16280.507647934543,136.5707966995249,254.38602329450916,601.0,1.0259881102051807e13,152886,597,16113.642524719238,14512.015213012695,18601.947429847718,10596.723112106323,19586.141931533813,1684.5955653598191,,,,distributed,PUT,100gbps,67108864,false
1778206777,put_distributed,512MiB,3,srv01,8,2,64,19206,0,16253.169418159452,136.34146700652772,31.762458471760798,602.0,1.025969539224121e13,19121,598,16336.267371177673,14929.386102962495,18071.107896614078,12191.660784721375,19384.226963996887,1370.4605853040478,,,,distributed,PUT,100gbps,536870912,false
1778207458,put_distributed,2GiB,3,srv01,8,2,64,5025,0,16939.381357023896,142.09782996658151,8.2,605.0,1.0746148391222727e13,4961,600,17329.905109882355,15633.709780216217,18074.714824295042,14698.181496620178,20119.84489250183,921.2393692628626,,,,distributed,PUT,100gbps,2147483648,false
1778279339,get_distributed,4MiB,1,srv01,8,2,64,2744752,0,18036.813272115556,151.30375610897474,4509.199341021417,607.0,1.1480172494768457e13,2737084,603,18060.260969161987,17397.687081718446,19742.053958702087,0.0,20661.07253074646,1588.2086149752504,2.517993336065574,2.4062951967213113,4.557335918032789,distributed,GET,100gbps,4194304,false
1778280037,get_distributed,64MiB,1,srv01,8,2,64,183504,0,18650.36156698636,156.45057224371433,291.36464968152865,628.0,1.2281369921131574e13,182977,624,19129.386252880096,18036.456088256837,19729.706699466704,0.0,20525.012798309326,2060.552905080632,3.240929163934426,2.970146631147541,7.30588536885246,distributed,GET,100gbps,67108864,false
1778280752,get_distributed,512MiB,1,srv01,8,2,64,27174,1,18238.108876884846,152.99234602950725,35.62286465177398,761.0,1.4553396916056875e13,27109,757,18819.142820358276,17934.32315826416,19316.552031707764,0.0,20279.232151031494,2361.0861449126114,4.310937065573771,3.9207916721311475,10.841704827868853,distributed,GET,100gbps,536870912,false
1778281597,get_distributed,2GiB,1,srv01,8,2,64,10750,0,17870.70340967022,149.91032558798688,8.68780487804878,1230.0,2.3048712559152984e13,10686,1226,18476.48538160324,17770.32864522934,19553.865166664124,0.0,24020.437973976135,3004.0949410831886,6.043318672131148,5.551163213114754,17.61704209016393,distributed,GET,100gbps,2147483648,false
1778282913,get_distributed,4MiB,2,srv01,8,2,64,2777650,0,18258.1282530716,153.16028072874246,4564.572607260726,606.0,1.1601891265202242e13,2766131,602,18509.14714717865,17789.331037712098,19112.23614616394,0.0,19580.95855140686,1421.891548076175,2.5278954180327866,2.4126399918032786,4.496390524590163,distributed,GET,100gbps,4194304,false
1778283603,get_distributed,64MiB,2,srv01,8,2,64,182174,2,18491.374203783187,155.11688957684927,288.8996815286624,628.0,1.2176675831782668e13,181429,619,18980.774817466736,17824.97500476837,19757.213651275637,0.0,20363.817405700684,1636.0031748155454,3.2162492377049183,2.946632606557377,7.22244218852459,distributed,GET,100gbps,67108864,false
