client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv02,st02,50pct,3,500,0.03749999999999999,0.015890595396148257,0.024,0.213,0.033,0.06205000000000001,0.10303999999999996,0.015,0.0
srv02,st02,100pct,1,500,0.06324,0.0372704786279209,0.028,0.29,0.051,0.138,0.21317999999999984,0.037,0.0
srv02,st02,100pct,2,500,0.066302,0.04879447301892283,0.028,0.631,0.054,0.12610000000000002,0.19336999999999877,0.048,0.0
srv02,st02,100pct,3,500,0.06000200000000001,0.050802438637757207,0.032,1.08,0.051,0.10105000000000001,0.13317999999999985,0.05,0.0
srv02,st03,idle,1,500,0.050725999999999986,0.010434590809933158,0.029,0.132,0.049,0.06805000000000001,0.07800999999999998,0.01,0.0
srv02,st03,idle,2,500,0.05613800000000001,0.016305541922757107,0.029,0.253,0.053,0.08105000000000001,0.0890899999999999,0.016,0.0
srv02,st03,idle,3,500,0.06570599999999999,0.016840152775167507,0.03,0.145,0.063,0.09605000000000001,0.11102,0.016,0.0
srv02,st03,50pct,1,500,0.046255999999999985,0.014919639918933074,0.026,0.131,0.042,0.07005000000000002,0.11401999999999998,0.014,0.0
srv02,st03,50pct,2,500,0.040151999999999986,0.013336138916583199,0.026,0.12,0.036,0.067,0.09205999999999995,0.013,0.0
srv02,st03,50pct,3,500,0.039439999999999996,0.010758712738966458,0.028,0.16,0.036,0.055,0.08001999999999998,0.01,0.0
srv02,st03,100pct,1,500,0.040699999999999986,0.02050020773148575,0.026,0.31,0.036,0.059,0.11327999999999974,0.02,0.0
srv02,st03,100pct,2,500,0.046422,0.024165260927027928,0.025,0.173,0.038,0.10615000000000004,0.149,0.024,0.0
srv02,st03,100pct,3,500,0.060647999999999994,0.03399216130316106,0.028,0.374,0.0515,0.11805000000000002,0.17267999999999936,0.033,0.0
srv02,st04,idle,1,500,0.043278,0.006805979629519535,0.027,0.087,0.043,0.054050000000000015,0.062009999999999996,0.006,0.0
srv02,st04,idle,2,500,0.051029999999999985,0.012692963509176671,0.031,0.239,0.049,0.07,0.08,0.012,0.0
srv02,st04,idle,3,500,0.049921999999999994,0.008982498904711667,0.032,0.096,0.048,0.06905000000000001,0.081,0.009,0.0
srv02,st04,50pct,1,500,0.04273199999999999,0.021503510828604525,0.028,0.338,0.0375,0.06905000000000001,0.10004999999999997,0.021,0.0
srv02,st04,50pct,2,500,0.04704199999999999,0.02308510515809535,0.027,0.228,0.041,0.07905000000000001,0.17501999999999995,0.023,0.0
srv02,st04,50pct,3,500,0.03932199999999999,0.015453411657744947,0.025,0.231,0.036,0.05905000000000001,0.08604999999999995,0.015,0.0
srv02,st04,100pct,1,500,0.07447399999999998,0.06250176209139273,0.028,0.834,0.0505,0.192,0.26002,0.062,0.0
srv02,st04,100pct,2,500,0.053492000000000005,0.030213235762335373,0.029,0.405,0.046,0.09705000000000001,0.16615999999999986,0.03,0.0
